date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:27	23701/23701	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2263b44bb3-fbe1%22	https://jornal-saude.online/robots.txt		(from )
08:35:28	10636/10636	---MCZ	200	added ('OK')	text/html	etag:W/%22676700d6-298c%22	https://jornal-saude.online/downsell/	C:/My%20Web%20Sites/cha/jornal-saude.online/downsell/index.html	(from )
08:35:28	18373/18373	---MCZ	200	added ('OK')	text/html	etag:W/%226768841b-47c5%22	https://jornal-saude.online/desparasitacao7dias/	C:/My%20Web%20Sites/cha/jornal-saude.online/desparasitacao7dias/index.html	(from )
08:35:28	10731/10731	---M--	200	added ('OK')	image/jpeg	etag:%22cf8ee36429cbe16227fd7635165ab332%22	https://s3.amazonaws.com/123pagebuilder/123tapronto1668774850507-overlay_4.jpg	C:/My%20Web%20Sites/cha/s3.amazonaws.com/123pagebuilder/123tapronto1668774850507-overlay_4.jpg	(from https://jornal-saude.online/downsell/)
08:35:29	56169/56169	---M-Z	200	added ('OK')	application/javascript	etag:%2265d0283a-47db%22	https://c1.cdn1tp.net/ghelper/googletagmanager.js	C:/My%20Web%20Sites/cha/c1.cdn1tp.net/ghelper/googletagmanager.js	(from https://jornal-saude.online/downsell/)
08:35:30	13256/13256	---M--	200	added ('OK')	image/jpeg	etag:%224dd7ad95b87be7663236d942c80e96a6%22	https://s3.amazonaws.com/123pagebuilder/123tapronto1671552931156-fundo-roxo.jpg	C:/My%20Web%20Sites/cha/s3.amazonaws.com/123pagebuilder/123tapronto1671552931156-fundo-roxo.jpg	(from https://jornal-saude.online/desparasitacao7dias/)
08:35:31	259917/259917	---M--	200	added ('OK')	image/png	etag:%22bd8513b4cb68373c7c6de17d43558fdc%22	https://123pagebuilder.s3.us-east-1.amazonaws.com/123tapronto1733035860238-Selo-de-Garantia-de-30-Dias-PNG-Transparente-Sem-Fundo.png	C:/My%20Web%20Sites/cha/123pagebuilder.s3.us-east-1.amazonaws.com/123tapronto1733035860238-Selo-de-Garantia-de-30-Dias-PNG-Transparente-Sem-Fundo.png	(from https://jornal-saude.online/desparasitacao7dias/)
08:35:31	13256/13256	---M--	200	added ('OK')	image/jpeg	etag:%224dd7ad95b87be7663236d942c80e96a6%22	https://s3.amazonaws.com/123pagebuilder/123tapronto1671568017976-fundo-roxo.jpg	C:/My%20Web%20Sites/cha/s3.amazonaws.com/123pagebuilder/123tapronto1671568017976-fundo-roxo.jpg	(from https://jornal-saude.online/desparasitacao7dias/)
08:35:32	10494/10494	---MCZ	200	added ('OK')	application/javascript	etag:W/%22761dda7b067625410ef096e1c8288b22%22	https://player.pandavideo.com.br/api.js	C:/My%20Web%20Sites/cha/player.pandavideo.com.br/api.js	(from https://jornal-saude.online/desparasitacao7dias/)
08:35:32	22940/22940	---M-Z	200	added ('OK')	application/javascript	etag:%2265d0283a-1f2c%22	https://c1.cdn1tp.net/ghelper/googletagmanager_helper.js	C:/My%20Web%20Sites/cha/c1.cdn1tp.net/ghelper/googletagmanager_helper.js	(from https://jornal-saude.online/desparasitacao7dias/)
